Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
111	1	-166.5517	-116.7969	-49.75479	1	0.104291	0.195654	0.201786	0.211142	0.202154	0.240445	0.24027	0.180966	0.269244
112	0	-135.3681	-118.0784	-17.28973	1	0.431538	0.431849	0.473015	0.532998	0.518822	0.502601	0.50622	0.515437	0.570908
113	1	-174.6577	-114.4115	-60.24623	1	0.114501	0.162002	0.416882	0.401242	0.446543	0.438967	0.382757	0.279971	0.254932
114	0	-144.4637	-117.9215	-26.54222	1	0.438723	0.438008	0.594941	0.545945	0.589951	0.610972	0.696474	0.689778	0.603155
115	1	-164.0754	-117.5965	-46.47886	1	0.324543	0.837699	0.853744	0.526311	0.599117	0.644871	0.927279	0.778222	1.56238
116	0	-129.4481	-115.3014	-14.14671	1	0.378382	0.464259	0.481929	0.416239	0.399569	0.413683	0.440618	0.440884	0.43979
117	1	-161.3466	-116.6749	-44.67167	1	0.355676	0.385353	1.65055	1.64481	0.800033	0.995919	0.878022	1.6179	1.53678
118	0	-138.2614	-120.6603	-17.60115	1	0.73151	0.734058	0.406191	0.351039	0.364835	0.365154	0.378687	0.379494	0.380655
119	1	-149.5024	-118.2799	-31.22253	1	0.292926	0.277083	2.02566	1.47574	0.546563	0.680871	1.03312	1.33636	1.42368
120	0	-126.1699	-115.8557	-10.31415	1	0.369905	0.451433	0.451484	0.4551	0.420167	0.423289	0.422919	0.423194	0.422274
121	1	-163.7512	-112.3492	-51.40198	1	0.21738	0.208924	1.57673	0.690172	0.323398	0.410016	0.738846	0.638315	0.645937
122	0	-155.8892	-114.3455	-41.54373	1	0.261221	0.267465	0.350504	0.351571	0.359128	0.359473	0.364509	0.371026	0.342831
123	1	-185.0231	-117.0915	-67.93163	1	0.13216	0.0887974	1.42456	0.94597	0.395394	0.407307	0.0967645	0.104923	0.106137
124	0	-141.8987	-114.917	-26.98169	1	0.297476	0.356012	0.368166	0.376952	0.362705	0.365752	0.365514	0.356294	0.30709
125	1	-144.0118	-115.7133	-28.29843	1	0.322794	0.371677	0.366039	0.418312	0.420429	0.418972	0.379391	0.392051	0.221582
126	0	-161.7929	-117.501	-44.29186	1	0.467731	0.470412	0.545351	0.592958	0.716145	0.761789	0.762822	0.526828	0.245826
127	1	-183.779	-115.3407	-68.43835	1	0.158772	0.193603	0.260493	0.20164	0.177549	0.204133	0.144099	0.150005	0.128604
128	0	-164.344	-117.386	-46.95796	1	0.453696	0.46852	0.627087	0.76741	0.880029	0.896328	1.26691	0.279922	0.370579
129	1	-152.0016	-115.8333	-36.16833	1	0.0394224	0.0526231	0.351317	0.355949	0.258159	0.1665	0.221247	0.223548	0.157349
130	0	-163.387	-111.5818	-51.80519	1	0.0128962	0.0127357	0.281559	0.418361	0.28695	0.209138	0.206016	0.224757	0.273238
131	1	-170.6916	-114.4696	-56.22201	1	0.151714	0.235929	0.369729	0.353288	0.353404	0.34886	0.294088	0.211807	0.217349
132	0	-201.321	-112.5309	-88.79013	1	0.0285796	0.0325569	0.278031	0.309762	0.384419	0.26486	0.296119	0.287385	0.36304
133	1	-188.5614	-117.9506	-70.6108	1	0.163808	0.175255	0.215125	0.115781	0.262779	0.248722	0.317276	0.200511	0.405582
134	0	-186.729	-114.7045	-72.0245	1	0.142849	0.106584	0.217815	0.226455	0.174475	0.174723	0.215529	0.208807	0.220837
135	1	-173.9299	-109.8187	-64.11117	1	0.0131555	0.00550816	0.494811	0.426172	0.175221	0.403191	0.415213	0.133905	0.175314
136	0	-181.3079	-115.5644	-65.74349	1	0.205275	0.225905	0.350242	0.295611	0.297336	0.292527	0.285862	0.307456	0.339237
137	1	-183.2374	-111.3545	-71.88289	1	0.0438796	0.00843523	0.167532	0.166602	0.159088	0.297841	0.333037	0.342399	0.387838
138	0	-186.9896	-114.2436	-72.74594	1	0.259433	0.344785	0.364901	0.550353	0.507534	0.507127	0.584208	0.153905	0.17332
139	1	-164.8694	-115.4908	-49.37859	1	0.101448	0.180983	0.166039	0.192711	0.194119	0.168552	0.242121	0.37594	0.417643
140	0	-186.1619	-117.9402	-68.22168	1	0.107402	0.155664	0.227246	0.394549	0.429498	0.415503	0.407615	0.310874	0.309067
141	1	-210.3688	-111.656	-98.71283	1	0.00247167	0.0325028	0.169596	0.140464	0.174727	0.270244	0.349817	0.111535	0.343035
