Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
130	0	-163.387	-111.5818	-51.80519	0.989862	0.0714965	0.0724629	0.0685727	0.0922761	0.0910338	0.0924232	0.0862032	0.0861221	0.0859266
131	1	-170.6916	-114.4696	-56.22201	0.849437	0.843709	0.00181235	0.00134366	0.00124269	0.00115709	0.00113241	0.00121884	0.00114302	0.00106236
132	0	-201.321	-112.5309	-88.79013	0.927966	0.198917	0.149586	7.00805e-60	1.25437e-59	1.13463e-59	1.64416e-59	1.48464e-59	4.20263e-60	4.48034e-59
133	1	-188.5614	-117.9506	-70.6108	0.876387	0.0332327	0.0203953	0.0385743	0.06693	9.17668e-10	1.17742e-09	4.59056e-10	4.57007e-10	4.64336e-10
134	0	-186.729	-114.7045	-72.0245	0.88456	0.457921	0.00320773	0.000155017	0.00014057	8.74149e-05	0.00101284	0.000733478	0.00092986	0.00118043
135	1	-173.9299	-109.8187	-64.11117	0.95012	0.561026	0.221936	4.64724e-05	0.000109207	5.72003e-05	7.58125e-05	0.000267138	0.00132294	0.00157398
136	0	-181.3079	-115.5644	-65.74349	0.939985	1.01713	0.0738062	0.0722267	0.086099	0.0672013	4.11117e-61	3.74252e-63	4.06698e-63	2.89489e-63
137	1	-183.2374	-111.3545	-71.88289	0.946852	0.0131034	0.0027074	0.00902911	0.0128957	0.0215895	0.000842418	0.00132717	0.00771967	0.0083316
138	0	-186.9896	-114.2436	-72.74594	0.974653	1.42762	0.0362084	0.0380187	0.0367452	0.280588	2.07178e-07	0.000156003	6.72871e-05	0.0136651
139	1	-164.8694	-115.4908	-49.37859	0.945949	1.24357e-06	1.24448e-06	1.42061e-06	2.86854e-06	2.85285e-06	2.25365e-06	2.72968e-06	1.48613e-06	1.47049e-06
140	0	-186.1619	-117.9402	-68.22168	0.782201	0.30929	3.19538e-06	0.0394214	0.127298	0.0365091	0.0404487	0.0572627	0.156113	0.15084
141	1	-210.3688	-111.656	-98.71283	0.909698	0.00969509	0.0139673	0.0147121	3.55157e-06	4.45035e-16	3.45356e-15	3.37383e-15	3.07061e-15	1.72865e-14
142	0	-199.0024	-111.3953	-87.60715	0.959257	0.583694	0.00590294	1.87735e-05	1.57253e-05	1.71751e-05	1.35964e-12	2.1242e-12	3.14805e-12	3.5623e-12
143	1	-172.8573	-112.4409	-60.41635	0.913999	0.00192136	0.0017037	0.0015978	0.00165769	0.0017568	0.00173015	0.00267297	0.0030147	0.00287713
144	0	-186.2924	-110.1132	-76.1791	0.955972	0.000969516	0.000977092	0.000888912	0.00108875	0.00125356	0.00122908	0.00121719	0.0013022	0.00130519
145	1	-164.2883	-110.0359	-54.2524	0.995928	0.169407	0.246278	0.238866	0.240387	0.435091	0.428131	0.364647	0.289465	0.295348
146	0	-190.5037	-112.9279	-77.57578	0.73439	0.0169336	2.8067e-05	2.72147e-05	4.31565e-06	5.21821e-05	3.01567e-06	3.04649e-06	1.27353e-06	1.46046e-06
147	1	-167.4472	-113.4469	-54.00034	0.857074	0.550872	0.0614437	0.0545904	0.110431	0.163388	0.158523	0.116843	0.43222	0.429067
