Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
79	-16895.84	-16896.2	0.3588608	0.766716	0.39581	-0.265639	-0.92682	-0.0161369	-0.35629	0.001560618	4.389309e-05	0.504717	0.495283	0.983993	0.70027
80	-16895.66	-16896.36	0.7001492	0.79504	0.4036	-0.229363	-0.90733	-0.031172	-0.368563	0.0007833569	4.025846e-05	0.504717	0.495283	0.969309	0.691728
81	-16896.72	-16897.14	0.4252324	0.79504	0.398126	-0.229363	-0.920986	0.0204278	-0.316974	0.0005009938	6.446105e-05	0.504717	0.495283	1.02064	0.72835
82	-16895.54	-16895.82	0.2803923	0.813879	0.403638	-0.205943	-0.907236	0.0204278	-0.316974	0.0005010469	9.955381e-05	0.504717	0.495283	1.02064	0.72835
83	-16895.42	-16895.53	0.1098864	0.8057	0.41823	-0.216044	-0.871724	0.0124098	-0.295712	0.0006526141	0.000119193	0.504717	0.495283	1.01249	0.744002
84	-16894.82	-16894.75	-0.06206361	0.827343	0.425384	-0.189536	-0.854764	0.0179227	-0.295712	0.0005491769	0.0002148784	0.72502	0.27498	1.01808	0.744002
85	-16894.11	-16894.02	-0.09521173	0.817136	0.447605	-0.201949	-0.803843	0.0179227	-0.295712	0.0005281955	0.0001690947	0.493126	0.506874	1.01808	0.744002
86	-16894.29	-16894.03	-0.2613093	0.817136	0.459237	-0.201949	-0.778188	0.0179227	-0.295712	0.0006820619	0.0002088106	0.518721	0.481279	1.01808	0.744002
87	-16895.65	-16895.39	-0.2605757	0.796059	0.459237	-0.228083	-0.778188	0.0180432	-0.297983	0.0006926204	0.000417539	0.518721	0.481279	1.01821	0.742314
88	-16895.52	-16895.41	-0.1088809	0.828484	0.439489	-0.188158	-0.822144	0.0180432	-0.327492	0.0005022023	0.0004261947	0.675559	0.324441	1.01821	0.720729
89	-16897.23	-16897.25	0.01742486	0.823794	0.39235	-0.193835	-0.9356	0.0384257	-0.322762	0.0008081265	0.0001829802	0.779827	0.220173	1.03917	0.724146
90	-16893.12	-16893.54	0.4220494	0.780829	0.423469	-0.247399	-0.859275	-0.0173864	-0.322762	0.0006557807	0.0001824935	0.779827	0.220173	0.982764	0.724146
91	-16893.81	-16893.98	0.1711334	0.798	0.421739	-0.225647	-0.863368	-0.0173864	-0.322762	0.001006628	0.0001553687	0.779827	0.220173	0.982764	0.724146
92	-16895.22	-16895.22	-0.001347139	0.798	0.445744	-0.225647	-0.80801	0.00775601	-0.325943	0.0008832988	0.0001555211	0.50523	0.49477	1.00779	0.721846
93	-16894.79	-16894.91	0.1206686	0.805186	0.420203	-0.216682	-0.867017	-0.0143515	-0.333739	0.001196083	5.906979e-05	0.50523	0.49477	0.985751	0.71624
94	-16894.12	-16894.22	0.1021509	0.805186	0.420203	-0.216682	-0.867017	-0.0143515	-0.310317	0.001037232	8.293316e-05	0.775777	0.224223	0.985751	0.733214
95	-16894.21	-16894.22	0.01073684	0.805186	0.443118	-0.216682	-0.813918	-0.0296601	-0.297365	0.001037232	6.205094e-05	0.789784	0.210216	0.970775	0.742773
96	-16893.96	-16893.8	-0.1675132	0.805186	0.443118	-0.216682	-0.813918	-0.0156215	-0.284904	0.001158912	5.977034e-05	0.789784	0.210216	0.9845	0.752087
97	-16894.66	-16894.53	-0.1274039	0.805186	0.443118	-0.216682	-0.813918	0.0245815	-0.284904	0.0007216332	5.760135e-05	0.69644	0.30356	1.02489	0.752087
98	-16894.09	-16893.44	-0.6476008	0.810343	0.477056	-0.210298	-0.74012	0.007825	-0.276308	0.001384079	6.4675e-05	0.69644	0.30356	1.00786	0.758579
99	-16895.48	-16894.46	-1.020474	0.810343	0.481338	-0.210298	-0.731186	0.007825	-0.257444	0.001920054	4.611586e-05	0.509631	0.490369	1.00786	0.773025
100	-16899.46	-16897.84	-1.613971	0.810343	0.50174	-0.210298	-0.689674	0.00732296	-0.275788	0.002988989	2.899353e-05	0.492382	0.507618	1.00735	0.758974
101	-16896.52	-16895.24	-1.283593	0.821666	0.492732	-0.196422	-0.70779	0.00252143	-0.249239	0.002195119	2.504959e-05	0.436092	0.563908	1.00252	0.779393
102	-16895.77	-16894.49	-1.277734	0.819093	0.492732	-0.199557	-0.70779	0.0031834	-0.249239	0.002195119	3.288372e-05	0.833819	0.166181	1.00319	0.779393
103	-16895.28	-16894.22	-1.051352	0.775544	0.49776	-0.25419	-0.697637	-0.0125329	-0.230895	0.002139772	3.288372e-05	0.833819	0.166181	0.987545	0.793823
104	-16893.96	-16893.02	-0.9422341	0.772243	0.514749	-0.258456	-0.664077	-0.0261206	-0.230895	0.001906563	3.591536e-05	0.833819	0.166181	0.974218	0.793823
105	-16893.46	-16892.79	-0.6671198	0.761845	0.512125	-0.272012	-0.669186	-0.0261206	-0.230895	0.001531024	2.160862e-05	0.625546	0.374454	0.974218	0.793823
106	-16893.31	-16892.59	-0.715247	0.761845	0.529292	-0.272012	-0.636215	-0.0428898	-0.22251	0.001531024	1.586374e-05	0.658564	0.341436	0.958017	0.800507
107	-16894.01	-16893.76	-0.2481153	0.761845	0.533402	-0.272012	-0.628479	-0.0717094	-0.227607	0.0008871851	2.460528e-05	0.658564	0.341436	0.930801	0.796437
108	-16892.23	-16892.12	-0.102251	0.734973	0.533402	-0.307921	-0.628479	-0.0717094	-0.227607	0.0008871851	1.587452e-05	0.733665	0.266335	0.930801	0.796437
109	-16893.98	-16894.25	0.2746626	0.68675	0.48266	-0.375785	-0.728443	-0.0717094	-0.23738	0.001257162	2.482089e-05	0.644841	0.355159	0.930801	0.788692
110	-16893	-16893.37	0.3744999	0.68675	0.48266	-0.375785	-0.728443	-0.0789697	-0.23738	0.001131976	2.384443e-05	0.827581	0.172419	0.924068	0.788692
111	-16891.65	-16892.6	0.9566585	0.68675	0.468113	-0.375785	-0.759045	-0.101835	-0.283209	0.0007197648	3.04006e-05	0.42523	0.57477	0.903178	0.753362
112	-16894.69	-16896.13	1.437643	0.639432	0.442889	-0.447175	-0.814436	-0.101835	-0.283209	0.0005593892	2.599786e-05	0.42523	0.57477	0.903178	0.753362
113	-16892.5	-16893.71	1.206105	0.684822	0.442895	-0.378597	-0.814423	-0.101835	-0.321731	0.0008255716	1.741943e-05	0.42523	0.57477	0.903178	0.724893
114	-16893.04	-16894.3	1.259986	0.682829	0.423946	-0.381511	-0.858149	-0.101835	-0.321731	0.0009419854	1.359047e-05	0.214222	0.785778	0.903178	0.724893
115	-16898.68	-16899.34	0.6601039	0.727565	0.415366	-0.318052	-0.878594	-0.00897138	-0.334262	0.0009928711	1.359047e-05	0.214222	0.785778	0.991069	0.715866
116	-16894.89	-16895.17	0.2885742	0.798944	0.415007	-0.224464	-0.879459	-0.00897138	-0.334262	0.0009928711	1.409313e-05	0.214222	0.785778	0.991069	0.715866
117	-16897.24	-16897.15	-0.0847387	0.798944	0.436279	-0.224464	-0.829474	-0.028399	-0.334262	0.001653732	1.494802e-05	0.214222	0.785778	0.972	0.715866
118	-16895	-16895.15	0.1507008	0.742788	0.436279	-0.297344	-0.829474	-0.0346323	-0.31174	0.001653732	1.517565e-05	0.262582	0.737418	0.965961	0.732172
119	-16892.46	-16893.12	0.6519899	0.742788	0.438046	-0.297344	-0.825432	-0.0420569	-0.317796	0.0007979117	1.517565e-05	0.631759	0.368241	0.958815	0.727751
120	-16894.58	-16895.47	0.8908214	0.750664	0.418443	-0.286797	-0.871215	-0.0420569	-0.363046	0.0007979117	9.717842e-06	0.624398	0.375602	0.958815	0.695554
121	-16895.61	-16896.85	1.237358	0.726812	0.405955	-0.319088	-0.901514	-0.0420569	-0.367279	0.0005367376	9.717842e-06	0.274099	0.725901	0.958815	0.692617
122	-16894.18	-16895.41	1.230016	0.726812	0.399949	-0.319088	-0.916417	-0.0420569	-0.330135	0.0003467332	9.717842e-06	0.53322	0.46678	0.958815	0.718826
123	-16894.96	-16895.93	0.9666931	0.726812	0.406576	-0.319088	-0.899984	-0.0301308	-0.330135	0.0006643682	1.794996e-05	0.456714	0.543286	0.970319	0.718826
124	-16893.25	-16893.98	0.7243793	0.766579	0.410528	-0.265818	-0.890311	-0.0301308	-0.330135	0.000677248	2.790671e-05	0.445925	0.554075	0.970319	0.718826
125	-16896.83	-16897.51	0.679906	0.76686	0.410528	-0.265451	-0.890311	-0.059407	-0.371367	0.001226198	0.000109883	0.549943	0.450057	0.942323	0.689791
