Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
218	0	-110.5534	-101.3942	-9.159174	0	0	0	0	0	0	0	0	0
219	1	-122.3525	-100.4653	-21.88728	0	0	0	0	0	0	0	0	0
220	0	-103.7483	-98.75821	-4.990076	0	0	0	0	0	0	0	0	0
221	1	-90.51207	-99.69891	9.186843	0	0	0	0	0	0	0	0	0
222	0	-107.0684	-95.54705	-11.52135	0	0	0	0	0	0	0	0	0
223	1	-115.5372	-101.8948	-13.64246	0	0	0	0	0	0	0	0	0
224	0	-140.1169	-96.66251	-43.45439	0	0	0.745966	0	0.891393	0	0	0	0
225	1	-92.33397	-105.5074	13.17344	0	0	0	0	0	0	0	0	0
226	0	-117.9641	-100.3364	-17.62772	0	0	0.816239	0	0	0	0	0	0
227	1	-127.9257	-105.956	-21.96973	0	0	0	0	0	0	0	0	0
228	0	-134.4571	-102.4506	-32.00649	0	0.915809	0	0	0	0	0	0	0
229	1	-113.9165	-99.79798	-14.11851	0.782914	0	0	0	0	0	0	0	0
230	0	-130.24	-98.43387	-31.80613	0	0.955036	0	0	0.867636	0	0	0	0
231	1	-103.6209	-98.02141	-5.599478	0.883624	0	0	0	0	0	0	0	0
232	0	-124.0871	-98.45362	-25.6335	0	0.942314	0	0	0.888057	0	0	0.826265	0
233	1	-65.13541	-95.02169	29.88628	0.941269	0	0	0	0.850558	0	0	0	0
234	0	-71.45968	-97.77698	26.3173	0	0.91727	0	0	0.953251	0	0	0	0
235	1	-70.07946	-97.30794	27.22848	0.946075	0	0	0	0.906332	0	0	0	0
236	0	-103.0118	-98.11449	-4.897344	0	0	0	0	0.907072	0	0	0	0
237	1	-49.81391	-100.6351	50.82118	0.928938	0	0	0	0.905775	0.886756	0	0	0
238	0	-120.411	-98.90245	-21.50852	0	0	0	0	0.883101	0	0	0	0
239	1	-44.56988	-96.34008	51.77021	0.872234	0	0	0	0.833885	0	0	0	0
240	0	-126.0174	-98.26387	-27.75351	0	0	0	0	0	0	0	0	0
241	1	-30.59122	-102.3751	71.78392	0.957237	0	0	0	0	0	0	0	0
242	0	-77.39801	-100.4056	23.00754	0	0	0	0	0	0	0	0	0
243	1	-66.15013	-98.39729	32.24716	0.937452	0	0	0	0	0	0	0	0
244	0	-89.4431	-103.8188	14.37566	0	0	0	0	0	0	0	0	0
245	1	-81.87719	-100.2307	18.35353	0.929369	0	0	0	0	0	0	0	0
246	0	-93.85023	-104.7721	10.92184	0	0	0	0	0	0	0	0	0
247	1	-77.91321	-99.43036	21.51715	0.770712	0	0	0	0	0	0	0.774687	0
248	0	-81.83525	-96.80512	14.96987	0.849401	0	0	0	0	0	0	0	0
249	1	-60.52683	-99.13485	38.60802	0.858739	0	0	0	0	0	0	0	0
