Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
144	0	-104.366	-108.9071	4.541058	0.02016164	0.01074679	0.1270165
145	1	-99.85738	-104.689	4.831595	0.002347269	0.00139291	0.1027524
146	0	-100.6726	-105.7523	5.079715	0.005347485	0.004056221	0.07733462
147	1	-103.8615	-108.3353	4.473784	0.01885626	0.007229666	0.1351514
148	0	-101.5822	-106.087	4.504828	0.01938362	0.0001102479	0.1322557
149	1	-104.4956	-108.8745	4.378872	0.06364786	0.003948172	0.1139728
150	0	-101.3947	-106.4746	5.079896	0.0009791581	0.007950165	0.07711983
151	1	-100.7921	-105.7106	4.918481	0.02342849	0.0006542371	0.08876428
152	0	-101.4161	-106.2726	4.856515	0.02471487	0.002866048	0.09432028
153	1	-102.3854	-106.8574	4.472021	0.04970474	0.0006587993	0.1167704
154	0	-100.3216	-105.1353	4.813659	0.004936941	0.002488408	0.1043161
155	1	-101.6655	-106.9272	5.261731	0.007281373	0.0008211895	0.05753151
156	0	-100.4833	-105.6041	5.120806	0.002576162	0.003573953	0.07332527
157	1	-99.44618	-104.3043	4.858104	0.003622441	6.99318e-05	0.1000445
158	0	-101.6518	-106.2069	4.555118	0.0008384752	0.001264519	0.1308406
159	1	-102.4283	-107.1782	4.749831	0.01779548	0.007500278	0.1073305
160	0	-102.4505	-107.5526	5.102059	0.0182594	0.004898593	0.07179932
161	1	-101.2847	-106.1219	4.837167	0.01928696	0.003760249	0.09847564
162	0	-102.3155	-107.3988	5.083242	0.00286885	0.01062408	0.07618818
163	1	-99.58046	-104.6437	5.063284	0.0007387588	0.00160794	0.07945778
164	0	-103.2203	-107.8627	4.642359	0.002197483	0.009818075	0.1208722
165	1	-100.7884	-105.564	4.775614	0.02084866	0.001522752	0.1041478
166	0	-99.62323	-104.5864	4.963175	0.005232058	0.00105916	0.08936216
167	1	-102.1325	-106.5879	4.455432	0.04771119	0.0001599439	0.1200493
168	0	-100.9407	-105.7498	4.809067	0.003574592	0.004847508	0.1047186
169	1	-100.1371	-105.2816	5.144458	0.0053418	0.0008751441	0.0707274
170	0	-100.639	-105.6207	4.981751	0.02074231	0.0002479545	0.08351336
171	1	-102.3885	-107.0714	4.682844	0.03959553	0.002778118	0.1030608
172	0	-100.1883	-105.2825	5.09421	0.004007288	0.002514619	0.07606804
173	1	-101.3504	-105.9467	4.596275	0.0001655379	0.001511709	0.1265928
174	0	-103.1112	-108.2022	5.090999	0.0001433312	0.01417253	0.07456552
175	1	-101.7574	-106.5926	4.835161	0.02041787	0.005147513	0.09812079
176	0	-100.4723	-105.4607	4.988323	0.01813497	0.0004721504	0.08383618
177	1	-99.46634	-104.3731	4.906768	0.0005629169	0.001110516	0.09529191
178	0	-102.2003	-107.3075	5.107177	0.01321916	0.006096805	0.07275159
179	1	-103.2362	-107.995	4.758855	0.01888085	0.0102513	0.105555
180	0	-102.1175	-107.0074	4.889837	0.03002331	0.003219618	0.08823847
181	1	-101.4919	-106.4378	4.945891	0.01736875	0.004685071	0.0881754
182	0	-101.8364	-106.844	5.00762	0.01871144	0.004730068	0.08143665
183	1	-101.3991	-106.0085	4.609391	0.01845935	0.001773115	0.1218119
184	0	-103.4945	-108.2756	4.781048	0.04489567	0.003278677	0.08938997
185	1	-101.3609	-106.3272	4.966346	0.01675152	0.004248483	0.08635669
186	0	-100.329	-105.3122	4.983154	0.01596156	0.0007238093	0.08508775
187	1	-100.3439	-105.2734	4.929498	0.01560545	0.001252761	0.09059955
