Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
35	-16879.27	-16888.22	8.95324	0.334246	0.37656	0.506871	0.571038	0.794767	1.20523	0.3086617	0.812053	1.23145	0.420558	0.473799	0.002423743	0.00242374	0.00242374	0.348869	0.459529	0.0826702	0.108932	0.404566	0.700951	0.798317	1.38316	0.67266	1.32734	0.5038562	0.71188	1.40473	0.601441	1.04206	0.000672022	0.000229845
36	-16877.21	-16885.79	8.580672	0.345395	0.38912	0.495722	0.558478	0.821276	1.17872	0.2678531	0.834716	1.19801	0.420558	0.473799	0.003340871	0.00334087	0.00334087	0.584096	0.0951138	0.138411	0.18238	0.404566	0.700951	0.798317	1.38316	0.67266	1.32734	0.5038562	0.71188	1.40473	0.601441	1.04206	0.000599423	0.000220636
37	-16875.63	-16884.63	9.001877	0.384511	0.421671	0.479581	0.525928	0.889977	1.11002	0.1637827	0.895413	1.1168	0.432046	0.473799	0.002722624	0.00272262	0.00272262	0.32018	0.0279044	0.598409	0.0535064	0.405356	0.724442	0.797526	1.42532	0.673974	1.32603	0.5016753	0.712928	1.40267	0.601441	1.07488	0.00065864	0.000216002
38	-16875.48	-16884.97	9.485788	0.384511	0.421671	0.479581	0.525928	0.889977	1.11002	0.1637827	0.895413	1.1168	0.432046	0.473799	0.002006733	0.00200673	0.00200673	0.292956	0.0594101	0.558356	0.0892784	0.405356	0.724442	0.797526	1.42532	0.673974	1.32603	0.5016753	0.712928	1.40267	0.601441	1.07488	0.000524667	0.000151422
39	-16874.02	-16883.59	9.570234	0.401451	0.440247	0.462641	0.507351	0.929185	1.07081	0.1051659	0.931524	1.07351	0.432046	0.473799	0.002005387	0.00200539	0.00200539	0.78542	0.0231964	0.132209	0.0591747	0.416306	0.753285	0.786576	1.42327	0.692181	1.30782	0.4716664	0.727505	1.37456	0.601441	1.08828	0.000635343	0.000144218
40	-16873.86	-16883.8	9.939156	0.39967	0.448332	0.445076	0.499266	0.946249	1.05375	0.07976816	0.947619	1.05528	0.422373	0.473799	0.001724239	0.00172424	0.00172424	0.656882	0.0319003	0.25461	0.0566075	0.416306	0.753285	0.786576	1.42327	0.692181	1.30782	0.4716664	0.727505	1.37456	0.601441	1.08828	0.000411529	7.65219e-05
41	-16879.08	-16888.83	9.750342	0.403015	0.505392	0.441732	0.553944	0.954168	1.04583	0.06799867	0.955171	1.04693	0.422373	0.529668	0.00202012	0.00202012	0.00202012	0.668225	0.0324512	0.241739	0.0575849	0.416306	0.73616	0.786576	1.39091	0.692181	1.30782	0.4716664	0.727505	1.37456	0.601441	1.06354	0.000373806	4.5848e-05
42	-16874.07	-16883.8	9.727882	0.397365	0.498307	0.447381	0.561029	0.940792	1.05921	0.08788531	0.942445	1.06107	0.422373	0.529668	0.00185918	0.00185918	0.00185918	0.668225	0.0324512	0.241739	0.0575849	0.416306	0.793853	0.786576	1.49992	0.692181	1.30782	0.4716664	0.727505	1.37456	0.601441	1.14689	0.000373806	4.26734e-05
43	-16875.59	-16885.43	9.839924	0.399376	0.502728	0.469272	0.590712	0.919534	1.08047	0.1195572	0.922526	1.08398	0.434324	0.54672	0.001431539	0.00143154	0.00143154	0.269572	0.077064	0.574073	0.079291	0.416306	0.793853	0.786576	1.49992	0.692181	1.30782	0.4716664	0.727505	1.37456	0.601441	1.14689	0.000373806	4.40964e-05
44	-16876.03	-16885.86	9.826324	0.396968	0.499697	0.47168	0.593743	0.913991	1.08601	0.1278334	0.91739	1.09005	0.434324	0.54672	0.001596431	0.00159643	0.00159643	0.223848	0.0639928	0.646317	0.0658421	0.413403	0.773907	0.781091	1.46223	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.11807	0.000273958	3.94382e-05
45	-16877.51	-16887.35	9.842629	0.389264	0.476832	0.479384	0.587224	0.896253	1.10375	0.1543714	0.901115	1.10974	0.434324	0.532028	0.001517632	0.00151763	0.00151763	0.133189	0.0549512	0.554998	0.256861	0.413403	0.773907	0.781091	1.46223	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.11807	0.000273958	5.35292e-05
46	-16875.5	-16885.51	10.01066	0.362085	0.476832	0.445912	0.587224	0.896253	1.10375	0.1543714	0.901115	1.10974	0.403999	0.532028	0.001087929	0.00108793	0.00108793	0.464279	0.0339619	0.34301	0.15875	0.413403	0.773907	0.781091	1.46223	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.11807	0.000526984	4.94448e-05
47	-16876	-16885.95	9.951496	0.362085	0.485849	0.445912	0.59833	0.896253	1.10375	0.1543714	0.901115	1.10974	0.403999	0.54209	0.001252462	0.00125246	0.00125246	0.400957	0.0293299	0.188148	0.381565	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000423466	5.20382e-05
48	-16880.58	-16890.66	10.07683	0.349541	0.447916	0.458456	0.587483	0.865204	1.1348	0.2010726	0.873173	1.14525	0.403999	0.517699	0.0008176197	0.00081762	0.00081762	0.371825	0.0998557	0.174478	0.353842	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000534153	7.61155e-05
49	-16882.65	-16892.84	10.18895	0.320633	0.447916	0.42054	0.587483	0.865204	1.1348	0.2010726	0.873173	1.14525	0.370587	0.517699	0.0008033075	0.000803307	0.000803307	0.382947	0.184429	0.179697	0.252927	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000509458	6.63781e-05
50	-16877.1	-16887.19	10.08932	0.400739	0.463776	0.493927	0.571623	0.89584	1.10416	0.1549897	0.90074	1.1102	0.447333	0.517699	0.0006281597	0.00062816	0.00062816	0.869053	0.0391384	0.0381342	0.0536747	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000641547	9.02725e-05
51	-16878.42	-16888.36	9.933622	0.414881	0.519534	0.514389	0.644143	0.892918	1.10708	0.1593711	0.898082	1.11348	0.464635	0.581839	0.0005939823	0.000593982	0.000593982	0.869053	0.0391384	0.0381342	0.0536747	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000571956	0.000181747
52	-16877.69	-16887.52	9.827027	0.420332	0.516348	0.508938	0.625193	0.90465	1.09535	0.1417968	0.908791	1.10036	0.464635	0.57077	0.0007223154	0.000722315	0.000722315	0.869053	0.0391384	0.0381342	0.0536747	0.413403	0.779167	0.781091	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.597247	1.12567	0.000699641	0.000219991
53	-16874.69	-16884.51	9.821946	0.412366	0.506562	0.516904	0.634979	0.887505	1.11249	0.1674943	0.893175	1.1196	0.464635	0.57077	0.0006103104	0.00061031	0.00061031	0.847518	0.0629479	0.0371892	0.0523447	0.450165	0.779167	0.85055	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.650358	1.12567	0.000594672	0.000202911
54	-16876.18	-16885.98	9.803675	0.423931	0.520103	0.506527	0.621438	0.91123	1.08877	0.1319578	0.914842	1.09309	0.465229	0.57077	0.0007600164	0.000760016	0.000760016	0.392707	0.565807	0.017232	0.0242545	0.450165	0.779167	0.85055	1.47217	0.692181	1.30782	0.4716664	0.727505	1.37456	0.650358	1.12567	0.000611688	0.000182623
