Iteration	Posterior	Likelihood	Prior	birth_rate
2920	-109.4484	-104.8432	-4.60517	0.1169062
2930	-108.5452	-103.94	-4.60517	0.0907203
2940	-108.5765	-103.9713	-4.60517	0.08423408
2950	-109.5086	-104.9035	-4.60517	0.06527416
2960	-109.1451	-104.5399	-4.60517	0.1114302
2970	-108.5527	-103.9475	-4.60517	0.08634812
2980	-108.6963	-104.0911	-4.60517	0.07901764
2990	-109.8661	-105.2609	-4.60517	0.1233062
3000	-108.5421	-103.937	-4.60517	0.08972278
3010	-108.962	-104.3568	-4.60517	0.07286934
3020	-108.5429	-103.9378	-4.60517	0.08817192
3030	-109.8818	-105.2766	-4.60517	0.1235299
3040	-108.5999	-103.9947	-4.60517	0.09572326
3050	-108.8252	-104.22	-4.60517	0.104077
3060	-109.0917	-104.4865	-4.60517	0.07069912
3070	-109.4749	-104.8697	-4.60517	0.1173445
3080	-108.5538	-103.9487	-4.60517	0.0921073
3090	-108.5514	-103.9462	-4.60517	0.08651675
3100	-108.6524	-104.0472	-4.60517	0.09829685
3110	-108.8807	-104.2755	-4.60517	0.1055483
3120	-108.5423	-103.9372	-4.60517	0.08982762
3130	-108.5432	-103.938	-4.60517	0.09018574
3140	-108.8822	-104.277	-4.60517	0.07439934
3150	-108.669	-104.0638	-4.60517	0.09898329
3160	-108.7184	-104.1133	-4.60517	0.1008096
3170	-109.2233	-104.6181	-4.60517	0.06878271
3180	-113.6559	-109.0507	-4.60517	0.1631359
3190	-108.8257	-104.2205	-4.60517	0.1040908
3200	-108.6165	-104.0113	-4.60517	0.09662417
3210	-108.6696	-104.0645	-4.60517	0.09900958
3220	-109.5822	-104.977	-4.60517	0.1190678
3230	-109.1081	-104.503	-4.60517	0.110689
3240	-108.6943	-104.0892	-4.60517	0.09995444
3250	-109.0605	-104.4554	-4.60517	0.07119112
3260	-108.5656	-103.9604	-4.60517	0.09331949
3270	-108.8067	-104.2015	-4.60517	0.07604777
3280	-108.5919	-103.9867	-4.60517	0.08326855
3290	-108.8155	-104.2103	-4.60517	0.1038066
3300	-108.7115	-104.1063	-4.60517	0.07855124
3310	-109.2526	-104.6475	-4.60517	0.06838566
3320	-108.9195	-104.3143	-4.60517	0.1065142
3330	-108.8527	-104.2475	-4.60517	0.07501726
3340	-110.0247	-105.4195	-4.60517	0.06027718
3350	-110.2029	-105.5977	-4.60517	0.1278819
3360	-108.7862	-104.181	-4.60517	0.1029614
3370	-109.9548	-105.3496	-4.60517	0.06088237
3380	-109.4542	-104.849	-4.60517	0.06589025
3390	-108.7139	-104.1087	-4.60517	0.07847954
3400	-108.5549	-103.9497	-4.60517	0.08609114
3410	-108.6085	-104.0033	-4.60517	0.08239485
3420	-110.1498	-105.5446	-4.60517	0.1271873
3430	-108.6434	-104.0382	-4.60517	0.0808678
3440	-108.7091	-104.1039	-4.60517	0.07862299
3450	-109.0149	-104.4098	-4.60517	0.108719
3460	-108.8167	-104.2115	-4.60517	0.1038398
3470	-110.2648	-105.6596	-4.60517	0.05832806
3480	-108.9158	-104.3106	-4.60517	0.07373236
3490	-108.551	-103.9458	-4.60517	0.09173472
3500	-109.4105	-104.8053	-4.60517	0.1162694
3510	-108.5441	-103.939	-4.60517	0.08780139
3520	-109.0235	-104.4183	-4.60517	0.108907
3530	-108.9462	-104.3411	-4.60517	0.07315703
3540	-108.9586	-104.3534	-4.60517	0.1074454
3550	-108.5733	-103.9681	-4.60517	0.09395947
3560	-108.5623	-103.9571	-4.60517	0.08534284
3570	-108.565	-103.9598	-4.60517	0.09326655
3580	-108.6681	-104.0629	-4.60517	0.09894778
3590	-108.5739	-103.9687	-4.60517	0.09400526
3600	-108.6947	-104.0895	-4.60517	0.07906876
3610	-108.9524	-104.3473	-4.60517	0.07304265
3620	-108.5671	-103.9619	-4.60517	0.09345154
3630	-108.5489	-103.9437	-4.60517	0.09141718
3640	-108.5418	-103.9366	-4.60517	0.08940996
3650	-110.2287	-105.6236	-4.60517	0.05860918
3660	-108.7206	-104.1154	-4.60517	0.07828304
3670	-108.549	-103.9439	-4.60517	0.08685196
3680	-109.0341	-104.4289	-4.60517	0.07162146
3690	-108.6152	-104.01	-4.60517	0.08207146
3700	-108.6695	-104.0644	-4.60517	0.07990158
3710	-108.5437	-103.9386	-4.60517	0.0879087
3720	-109.5145	-104.9093	-4.60517	0.06520918
3730	-108.5523	-103.9472	-4.60517	0.08639341
3740	-108.5419	-103.9368	-4.60517	0.08867682
3750	-109.805	-105.1998	-4.60517	0.1224282
3760	-108.7184	-104.1132	-4.60517	0.1008081
3770	-109.2892	-104.6841	-4.60517	0.1141511
3780	-108.6435	-104.0384	-4.60517	0.09791338
3790	-108.9179	-104.3127	-4.60517	0.07369249
3800	-108.5416	-103.9365	-4.60517	0.0890645
3810	-108.5428	-103.9377	-4.60517	0.0900563
3820	-108.7076	-104.1024	-4.60517	0.07866772
3830	-109.4075	-104.8023	-4.60517	0.1162186
3840	-108.9611	-104.3559	-4.60517	0.07288528
3850	-108.5593	-103.9541	-4.60517	0.09271768
3860	-108.5764	-103.9713	-4.60517	0.08423621
3870	-108.5501	-103.9449	-4.60517	0.0916049
3880	-108.7469	-104.1417	-4.60517	0.07754697
3890	-108.6168	-104.0116	-4.60517	0.09664004
3900	-108.5418	-103.9367	-4.60517	0.08875765
3910	-110.8118	-106.2066	-4.60517	0.1353143
3920	-108.5419	-103.9367	-4.60517	0.08871854
3930	-109.3063	-104.7011	-4.60517	0.1144575
3940	-108.5594	-103.9542	-4.60517	0.08561441
3950	-109.1199	-104.5147	-4.60517	0.07026741
3960	-108.9984	-104.3932	-4.60517	0.1083519
3970	-108.5419	-103.9368	-4.60517	0.0886613
3980	-110.837	-106.2318	-4.60517	0.1356042
3990	-108.7276	-104.1224	-4.60517	0.1011208
4000	-108.5632	-103.958	-4.60517	0.08526354
4010	-109.1794	-104.5742	-4.60517	0.06939639
4020	-108.5445	-103.9393	-4.60517	0.09055184
4030	-108.7245	-104.1193	-4.60517	0.07816995
4040	-108.9063	-104.3012	-4.60517	0.07391696
4050	-108.9452	-104.34	-4.60517	0.07317652
4060	-108.5655	-103.9603	-4.60517	0.09331117
4070	-110.4823	-105.8771	-4.60517	0.05670968
4080	-109.1312	-104.5261	-4.60517	0.111155
4090	-108.8697	-104.2645	-4.60517	0.1052657
4100	-108.8397	-104.2346	-4.60517	0.1044739
4110	-108.8071	-104.202	-4.60517	0.103569
4120	-108.8293	-104.2241	-4.60517	0.07552947
4130	-108.8215	-104.2164	-4.60517	0.1039745
4140	-108.548	-103.9428	-4.60517	0.09127138
4150	-108.6845	-104.0793	-4.60517	0.07939575
4160	-108.6442	-104.039	-4.60517	0.08083743
4170	-108.5629	-103.9578	-4.60517	0.08528516
4180	-108.592	-103.9869	-4.60517	0.08326152
4190	-109.5929	-104.9877	-4.60517	0.1192359
4200	-109.3025	-104.6973	-4.60517	0.06773289
4210	-108.5416	-103.9365	-4.60517	0.08914367
4220	-108.5555	-103.9504	-4.60517	0.08601696
4230	-108.6658	-104.0606	-4.60517	0.09885589
4240	-108.6013	-103.9961	-4.60517	0.08275747
4250	-108.7135	-104.1084	-4.60517	0.0784904
4260	-108.7592	-104.154	-4.60517	0.1021415
4270	-109.8001	-105.195	-4.60517	0.1223581
4280	-109.0849	-104.4798	-4.60517	0.110213
4290	-109.8899	-105.2847	-4.60517	0.1236445
4300	-108.8608	-104.2556	-4.60517	0.07484453
4310	-108.6073	-104.0021	-4.60517	0.09613867
4320	-108.8061	-104.2009	-4.60517	0.07606157
4330	-109.6588	-105.0537	-4.60517	0.06367707
4340	-108.6654	-104.0602	-4.60517	0.08004677
4350	-108.583	-103.9778	-4.60517	0.09466442
4360	-109.2396	-104.6344	-4.60517	0.1132417
4370	-109.5881	-104.983	-4.60517	0.06441133
4380	-108.5534	-103.9482	-4.60517	0.08626551
4390	-108.5573	-103.9521	-4.60517	0.09251008
4400	-108.5433	-103.9382	-4.60517	0.08803517
4410	-108.5861	-103.981	-4.60517	0.09487414
4420	-108.6423	-104.0371	-4.60517	0.08091009
4430	-109.1404	-104.5352	-4.60517	0.1113367
4440	-109.2862	-104.681	-4.60517	0.1140955
4450	-108.6342	-104.029	-4.60517	0.08123832
4460	-108.8953	-104.2901	-4.60517	0.1059178
4470	-108.6915	-104.0863	-4.60517	0.09984864
4480	-108.6783	-104.0731	-4.60517	0.0993498
4490	-108.6606	-104.0554	-4.60517	0.09864333
4500	-108.5441	-103.9389	-4.60517	0.09044826
4510	-108.8456	-104.2405	-4.60517	0.07516857
4520	-108.797	-104.1919	-4.60517	0.0762754
4530	-108.5686	-103.9634	-4.60517	0.08481122
4540	-109.0881	-104.4829	-4.60517	0.1102786
4550	-108.9538	-104.3486	-4.60517	0.1073325
4560	-108.7047	-104.0995	-4.60517	0.07875749
4570	-108.9439	-104.3387	-4.60517	0.07320024
4580	-108.5455	-103.9404	-4.60517	0.08747061
4590	-108.5431	-103.9379	-4.60517	0.09015017
4600	-108.5644	-103.9592	-4.60517	0.08515906
4610	-108.8346	-104.2295	-4.60517	0.07540998
4620	-108.5594	-103.9542	-4.60517	0.09273176
4630	-108.9515	-104.3463	-4.60517	0.07306014
4640	-108.6084	-104.0032	-4.60517	0.09619824
4650	-108.6553	-104.0502	-4.60517	0.08041152
4660	-108.6264	-104.0213	-4.60517	0.09712149
4670	-109.1792	-104.5741	-4.60517	0.06939806
4680	-109.5718	-104.9666	-4.60517	0.1189046
4690	-109.5849	-104.9798	-4.60517	0.1191113
4700	-108.5516	-103.9464	-4.60517	0.09181985
4710	-109.3943	-104.7891	-4.60517	0.1159944
4720	-108.7484	-104.1433	-4.60517	0.1018018
4730	-108.5683	-103.9631	-4.60517	0.09355472
4740	-108.7248	-104.1197	-4.60517	0.1010278
4750	-108.6485	-104.0434	-4.60517	0.08066806
4760	-108.5422	-103.937	-4.60517	0.08974474
4770	-108.9383	-104.3332	-4.60517	0.106968
4780	-108.5464	-103.9413	-4.60517	0.08729188
4790	-109.2992	-104.6941	-4.60517	0.1143309
4800	-109.1009	-104.4958	-4.60517	0.1105421
4810	-109.5103	-104.9051	-4.60517	0.06525582
4820	-110.1014	-105.4962	-4.60517	0.1265461
4830	-110.3537	-105.7485	-4.60517	0.05765138
4840	-111.4625	-106.8573	-4.60517	0.1424559
4850	-108.5424	-103.9372	-4.60517	0.08840517
4860	-108.7353	-104.1302	-4.60517	0.07786404
4870	-109.3619	-104.7567	-4.60517	0.06698676
4880	-108.6984	-104.0932	-4.60517	0.07895249
4890	-108.8188	-104.2136	-4.60517	0.103899
4900	-108.9544	-104.3492	-4.60517	0.07300739
4910	-109.3045	-104.6993	-4.60517	0.1144255
4920	-109.3235	-104.7183	-4.60517	0.1147636
4930	-108.5901	-103.9849	-4.60517	0.09512752
4940	-109.7874	-105.1822	-4.60517	0.1221724
4950	-108.6513	-104.0461	-4.60517	0.09825215
