Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
208	0	-38.1049	-37.27317	-0.8317218	0.02293087	0.3401008	0.1698982	30.22769	2.0958
209	1	-38.00053	-37.25319	-0.7473327	0.02692412	0.3820465	0.1475846	25.74447	2.66618
210	0	-42.54842	-39.04007	-3.508347	0.1136889	0.7780338	0.6852403	6.096878	3.516751
211	1	-37.51002	-37.2872	-0.2228254	7.534698e-05	0.001474063	0.1276334	9199.403	3.319033
212	0	-39.49963	-38.27293	-1.226705	0.01421052	0.2331083	0.2852505	48.77703	3.602646
213	1	-37.34049	-36.74848	-0.5920181	0.0006178044	0.01200142	0.1832209	1121.952	2.781649
214	0	-39.00232	-37.66701	-1.335305	0.01720261	0.2724218	0.3048138	40.29314	2.894885
215	1	-41.56398	-38.93424	-2.629748	0.06497405	0.6378804	0.566411	10.66806	3.471782
216	0	-37.98532	-36.63535	-1.349975	0.03634744	0.4667314	0.236023	19.07004	2.843086
217	1	-38.51289	-36.98896	-1.523934	0.03207252	0.4305992	0.2983527	21.61187	2.614811
218	0	-40.52658	-38.93867	-1.587909	0.01682351	0.2675999	0.394516	41.20111	2.882434
219	1	-38.75119	-37.58653	-1.164661	0.01879562	0.2922006	0.2512764	36.87811	3.456351
220	0	-37.72058	-36.79845	-0.9221357	0.01186642	0.2002013	0.2174374	58.4125	2.854121
221	1	-38.48457	-37.15847	-1.326101	0.02206264	0.3304375	0.281982	31.41724	2.85274
222	0	-39.66198	-38.12332	-1.538656	0.0209134	0.3173312	0.3544732	33.14368	2.48578
223	1	-37.03673	-36.51203	-0.5246995	0.006968635	0.1248538	0.1565948	99.4667	2.643872
224	0	-37.28139	-36.65375	-0.6276347	0.004390893	0.0812622	0.1800096	157.8602	2.853985
225	1	-37.746	-36.77815	-0.9678573	0.01318772	0.2189864	0.2234009	52.56006	2.647996
226	0	-37.76718	-36.80071	-0.9664709	0.02916773	0.4039271	0.1780112	23.76418	2.531628
227	1	-38.35561	-37.33793	-1.017684	0.01680704	0.2673894	0.2231105	41.24148	3.40627
228	0	-39.891	-38.34838	-1.542622	0.05429856	0.5858441	0.222071	12.76548	2.119684
229	1	-38.64689	-36.81726	-1.829632	0.05047247	0.5642	0.3123283	13.73317	2.690175
230	0	-37.09752	-36.59316	-0.5043598	0.002423687	0.04599601	0.1636163	285.9887	2.851198
231	1	-37.52277	-36.93086	-0.59191	0.01270055	0.2121323	0.1544549	54.57618	2.178381
232	0	-37.36334	-36.68582	-0.6775244	0.01135193	0.192717	0.1714973	61.05984	3.025958
233	1	-37.11876	-36.68933	-0.4294314	0.004092139	0.076021	0.1482688	169.3851	2.280112
234	0	-39.03963	-37.6236	-1.41603	0.02823062	0.3949284	0.2827726	24.55303	1.949665
235	1	-37.79178	-37.1612	-0.6305827	0.008021048	0.1418417	0.1715163	86.41603	1.914605
236	0	-38.32665	-37.06308	-1.263566	0.03763975	0.4769769	0.2125687	18.4153	2.285181
237	1	-38.62023	-37.65897	-0.96126	0.006842812	0.1227921	0.242742	101.2957	1.946313
238	0	-40.47097	-37.92113	-2.549848	0.09636709	0.7411314	0.3356133	7.192779	2.826117
239	1	-37.14109	-36.71742	-0.4236643	0.008560158	0.1503695	0.1383995	80.97365	2.497366
240	0	-42.77394	-40.94879	-1.825145	0.02912501	0.4035212	0.4203651	23.79903	4.390898
241	1	-38.27405	-37.30537	-0.9686796	0.0111515	0.1897749	0.2301092	62.1573	3.280306
242	0	-38.37039	-36.85579	-1.514604	0.03397187	0.4470917	0.2877568	20.40356	2.633948
243	1	-37.77621	-36.96661	-0.8096044	0.01418749	0.2327942	0.1880282	48.85623	2.071506
244	0	-39.24206	-37.58406	-1.658006	0.04737747	0.5453505	0.274829	14.63031	2.075513
245	1	-38.11439	-36.81631	-1.298078	0.03925021	0.4893325	0.2150839	17.65971	2.940384
246	0	-39.85107	-38.32565	-1.52542	0.02126173	0.3213422	0.3480955	32.60069	2.045841
247	1	-41.8664	-39.78795	-2.078457	0.04491081	0.5293961	0.4333063	15.43386	3.996775
248	0	-41.43569	-38.40546	-3.030233	0.08196955	0.7010783	0.6649588	8.456155	2.738714
249	1	-38.26908	-37.44852	-0.8205579	0.008214942	0.1449222	0.2068336	84.3764	1.81657
250	0	-38.13645	-36.9844	-1.152046	0.03858374	0.4842737	0.1876184	17.96475	2.759801
251	1	-40.94037	-38.99628	-1.944088	0.03607181	0.4645069	0.4292057	19.21576	1.812982
252	0	-38.0105	-36.79088	-1.219623	0.03245694	0.433996	0.2188825	21.3559	2.352543
253	1	-37.88658	-36.90881	-0.9777654	0.01759924	0.2774189	0.2119941	39.38506	3.165405
254	0	-37.31144	-36.63377	-0.6776738	0.01223964	0.2055705	0.1693855	56.63134	2.345784
255	1	-42.39947	-41.63739	-0.7620811	0.01940207	0.2995299	0.1665686	35.72542	0.9474648
256	0	-40.37918	-38.97628	-1.402907	0.01146212	0.194328	0.3536803	60.47288	1.970931
257	1	-37.16829	-36.58845	-0.5798426	0.005752715	0.10465	0.1683391	120.4905	2.879585
258	0	-37.91066	-37.16834	-0.7423188	0.004280615	0.07933222	0.2021989	161.927	3.245642
259	1	-39.1957	-38.12279	-1.072914	0.005574818	0.1016411	0.2763215	124.3354	3.274725
260	0	-37.55021	-36.54819	-1.002023	0.02552567	0.3678092	0.1941918	27.1549	2.689224
261	1	-41.32533	-39.05258	-2.272757	0.0449004	0.5293269	0.5263106	15.43744	2.199116
262	0	-40.24789	-37.6597	-2.588193	0.07803216	0.688196	0.4518297	8.882839	3.214724
263	1	-38.03468	-36.86469	-1.169993	0.02985316	0.4103849	0.216088	23.21855	2.267443
264	0	-39.00638	-38.17942	-0.8269622	0.01845774	0.2880697	0.1801209	37.5532	1.625306
265	1	-38.06677	-37.0815	-0.9852768	0.02972304	0.4091668	0.1799732	23.3202	3.101225
266	0	-40.13276	-37.47976	-2.653001	0.08776445	0.7184325	0.4201592	7.897812	3.097003
267	1	-39.947	-38.76862	-1.178372	0.008886797	0.1554799	0.2930191	77.99741	3.734625
268	0	-38.52217	-36.8428	-1.679371	0.04631424	0.5385786	0.2850125	14.96618	2.482641
269	1	-38.78761	-37.05488	-1.732733	0.03989763	0.4941748	0.3291576	17.37314	2.661464
270	0	-42.10732	-38.51716	-3.590159	0.1101791	0.7713606	0.7814582	6.291097	2.605275
271	1	-39.60429	-37.67476	-1.929532	0.04800047	0.5492466	0.3574066	14.44043	3.343924
272	0	-39.05922	-37.34159	-1.71763	0.06070849	0.6184393	0.2416422	11.41763	2.587339
273	1	-41.1617	-39.0739	-2.087796	0.05362353	0.5821516	0.3867222	12.92618	1.676464
274	0	-37.69997	-36.65782	-1.042149	0.01838516	0.2871779	0.2235959	37.70144	2.659617
