Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
234	0	-45.50513	0	-45.50513	0.007167718
235	1	370.7827	0	370.7827	0.0001243623
236	0	-45.38754	0	-45.38754	0.006809975
237	1	369.4079	0	369.4079	9.035659e-05
238	0	-46.17364	0	-46.17364	0.006041369
239	1	369.2709	0	369.2709	8.98055e-05
240	0	-45.559	0	-45.559	0.00724109
241	1	371.1839	0	371.1839	0.0001193522
242	0	-45.48615	0	-45.48615	0.006533509
243	1	371.169	0	371.169	0.0001195762
244	0	-45.55921	0	-45.55921	0.00724135
245	1	371.4967	0	371.4967	0.0001084636
246	0	-46.33038	0	-46.33038	0.005973063
247	1	371.3196	0	371.3196	0.0001036052
248	0	-46.18369	0	-46.18369	0.007761274
249	1	370.5144	0	370.5144	0.0001270457
250	0	-45.46303	0	-45.46303	0.007098412
251	1	370.745	0	370.745	9.756875e-05
252	0	-45.41163	0	-45.41163	0.006679058
253	1	370.5364	0	370.5364	0.0001268377
254	0	-45.77718	0	-45.77718	0.007463744
255	1	369.4254	0	369.4254	9.042887e-05
256	0	-46.18629	0	-46.18629	0.007762935
257	1	371.3776	0	371.3776	0.0001046575
258	0	-45.47749	0	-45.47749	0.007123889
259	1	371.3776	0	371.3776	0.0001046575
260	0	-45.55918	0	-45.55918	0.006443603
261	1	371.4772	0	371.4772	0.0001074065
262	0	-45.48465	0	-45.48465	0.0071358
263	1	371.4772	0	371.4772	0.0001074065
264	0	-45.53434	0	-45.53434	0.007209079
265	1	371.3774	0	371.3774	0.0001046533
266	0	-45.50745	0	-45.50745	0.006504405
267	1	370.9322	0	370.9322	0.000122685
268	0	-45.84595	0	-45.84595	0.007521185
269	1	371.4276	0	371.4276	0.0001057914
270	0	-46.46498	0	-46.46498	0.007929666
271	1	371.4942	0	371.4942	0.000111854
272	0	-45.39295	0	-45.39295	0.006754826
273	1	371.4739	0	371.4739	0.0001129381
274	0	-45.61844	0	-45.61844	0.006385107
275	1	371.2744	0	371.2744	0.0001178803
276	0	-45.40351	0	-45.40351	0.006705809
277	1	371.4616	0	371.4616	0.000106804
278	0	-46.0737	0	-46.0737	0.006089151
279	1	371.314	0	371.314	0.0001171544
280	0	-45.92359	0	-45.92359	0.007581697
281	1	371.314	0	371.314	0.0001171544
282	0	-45.51915	0	-45.51915	0.006489592
283	1	371.4642	0	371.4642	0.0001068947
284	0	-46.63929	0	-46.63929	0.008025142
285	1	370.5006	0	370.5006	0.0001271746
286	0	-46.95259	0	-46.95259	0.005753656
287	1	371.5049	0	371.5049	0.0001092835
288	0	-45.66226	0	-45.66226	0.006346963
289	1	371.3688	0	371.3688	0.0001160257
290	0	-45.4139	0	-45.4139	0.006986263
291	1	370.1862	0	370.1862	0.0001299555
292	0	-45.76192	0	-45.76192	0.007450415
293	1	369.946	0	369.946	9.277053e-05
