Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
198	0	-278.7639	0	-278.7639	0.0961619	0.7406282	0.2014328	7.208127	-6.469648
199	1	224.1893	0	224.1893	0.1096559	0.7703342	0.00152538	6.321111	3.035503
200	0	-280.3403	0	-280.3403	0.110454	0.7718966	0.2129562	6.27544	-6.570087
201	1	224.6601	0	224.6601	0.126185	0.7991031	0.001756252	5.493103	3.035503
202	0	-278.7794	0	-278.7794	0.1087677	0.7685721	0.2076919	6.37273	-6.370632
203	1	223.6103	0	223.6103	0.1239528	0.7956196	0.001605503	5.592025	3.035503
204	0	-278.2084	0	-278.2084	0.0998747	0.7494697	0.1774672	6.940168	-6.370632
205	1	223.9313	0	223.9313	0.08902819	0.7219841	0.001390539	7.785704	3.035503
206	0	-279.5498	0	-279.5498	0.08297646	0.7042257	0.192423	8.35354	-6.489391
207	1	224.7352	0	224.7352	0.1134224	0.7775398	0.001872442	6.111201	3.035503
208	0	-281.5071	0	-281.5071	0.09903012	0.7475066	0.1733772	6.999357	-6.219516
209	1	224.9851	0	224.9851	0.1314785	0.8069318	0.001909339	5.271944	3.035503
210	0	-277.412	0	-277.412	0.08123393	0.698742	0.1497032	8.53273	-6.421271
211	1	225.6635	0	225.6635	0.1521684	0.8326421	0.002160562	4.555133	3.044999
212	0	-279.9448	0	-279.9448	0.0982125	0.7455795	0.2183255	7.057627	-6.371707
213	1	225.0211	0	225.0211	0.179678	0.8580237	0.002722252	3.857718	3.041198
214	0	-279.2829	0	-279.2829	0.1189247	0.7873426	0.2030229	5.828453	-6.370519
215	1	222.2778	0	222.2778	0.1147686	0.7800147	0.002288304	6.039521	3.047563
216	0	-278.522	0	-278.522	0.07573697	0.6802393	0.1695994	9.152032	-6.498911
217	1	224.9401	0	224.9401	0.09558818	0.7392119	0.001592662	7.25139	3.047563
218	0	-277.3813	0	-277.3813	0.08215413	0.7016596	0.1534825	8.437156	-6.417882
219	1	223.8052	0	223.8052	0.1658492	0.8462826	0.002887961	4.179383	3.047563
220	0	-277.4024	0	-277.4024	0.07889117	0.6910871	0.1533978	8.786118	-6.466826
221	1	222.69	0	222.69	0.1456977	0.8253399	0.002040179	4.757435	3.059905
222	0	-279.194	0	-279.194	0.05638568	0.5969362	0.1247632	12.29297	-6.595544
223	1	222.776	0	222.776	0.1177489	0.7853159	0.001491695	5.886657	3.034815
224	0	-277.718	0	-277.718	0.09335522	0.7335657	0.173203	7.424836	-6.457595
225	1	225.1411	0	225.1411	0.1073006	0.7656066	0.001562501	6.459864	3.048808
