Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
232	0	-37.65066	-37.8382	0.1875427	0.09000685
233	1	-37.78578	-37.99407	0.208287	0.08815896
234	0	-38.60578	-38.9209	0.3151153	0.07922668
235	1	-38.0832	-38.33354	0.2503349	0.0845289
236	0	-38.81797	-39.15685	0.3388839	0.07736578
237	1	-37.13546	-37.23023	0.09476444	0.09875717
238	0	-37.21713	-37.32846	0.1113336	0.09713433
239	1	-38.41214	-38.70439	0.292247	0.08105934
240	0	-37.66298	-37.85246	0.1894832	0.08983236
241	1	-37.33434	-37.46803	0.1336948	0.09498639
242	0	-37.38806	-37.53152	0.1434548	0.09406383
243	1	-37.17947	-37.28328	0.1038043	0.09786844
244	0	-37.43747	-37.58966	0.1521874	0.09324599
245	1	-37.18988	-37.29579	0.1059039	0.09766317
246	0	-37.49439	-37.65637	0.16198	0.09233733
247	1	-38.35312	-38.63815	0.2850294	0.08164651
248	0	-37.49439	-37.65637	0.16198	0.09233733
249	1	-37.63476	-37.81978	0.1850226	0.09023396
250	0	-37.7907	-37.99972	0.2090198	0.08809437
251	1	-37.43953	-37.59207	0.1525461	0.09321255
252	0	-37.20365	-37.31231	0.1086593	0.09739444
253	1	-37.37061	-37.51092	0.1403152	0.09435963
254	0	-38.01117	-38.25173	0.2405561	0.08535955
255	1	-37.37061	-37.51092	0.1403152	0.09435963
256	0	-37.68292	-37.87552	0.1926022	0.08955261
257	1	-37.61047	-37.79161	0.1811397	0.09058501
258	0	-39.39656	-39.79464	0.3980831	0.07291872
259	1	-37.28924	-37.41452	0.125274	0.09578963
260	0	-41.05486	-41.59171	0.5368513	0.06347062
261	1	-37.22155	-37.33376	0.1122067	0.09704956
262	0	-37.97376	-38.20914	0.2353805	0.08580249
263	1	-37.53065	-37.69873	0.1680768	0.09177608
264	0	-38.32907	-38.61112	0.2820521	0.08188996
265	1	-38.70323	-39.02942	0.3261879	0.07835428
266	0	-37.49708	-37.65952	0.1624357	0.09229526
267	1	-37.65652	-37.84498	0.1884662	0.08992377
268	0	-37.49708	-37.65952	0.1624357	0.09229526
269	1	-37.49246	-37.65411	0.1616517	0.09236765
270	0	-37.29615	-37.42273	0.1265779	0.09566482
271	1	-39.09108	-39.45884	0.3677583	0.07516383
272	0	-37.29615	-37.42273	0.1265779	0.09566482
273	1	-37.37749	-37.51904	0.1415559	0.09424263
274	0	-37.29615	-37.42273	0.1265779	0.09566482
275	1	-37.58705	-37.76441	0.1773571	0.0909283
276	0	-37.40537	-37.55191	0.1465402	0.09377406
277	1	-37.58705	-37.76441	0.1773571	0.0909283
278	0	-37.40537	-37.55191	0.1465402	0.09377406
279	1	-39.81915	-40.25629	0.4371467	0.07012517
280	0	-37.40537	-37.55191	0.1465402	0.09377406
281	1	-39.33369	-39.72569	0.3919974	0.07336383
282	0	-37.5536	-37.72548	0.1718818	0.09142754
283	1	-39.98933	-40.44139	0.4520573	0.06908732
284	0	-37.2269	-37.34016	0.1132595	0.09694744
285	1	-37.38536	-37.52833	0.1429701	0.09410944
286	0	-38.83607	-39.17693	0.3408556	0.07721339
287	1	-37.11001	-37.19942	0.08941173	0.09928721
288	0	-38.01078	-38.25128	0.2405018	0.08536419
289	1	-37.11001	-37.19942	0.08941173	0.09928721
290	0	-37.87541	-38.09686	0.2214428	0.08700675
291	1	-37.11001	-37.19942	0.08941173	0.09928721
292	0	-37.16548	-37.26643	0.1009578	0.09814742
293	1	-37.11076	-37.20033	0.08956956	0.09927154
294	0	-37.20058	-37.30863	0.108048	0.097454
295	1	-37.11076	-37.20033	0.08956956	0.09927154
296	0	-37.38783	-37.53125	0.1434138	0.0940677
297	1	-38.08636	-38.33712	0.2507576	0.08449318
298	0	-37.3402	-37.47497	0.1347733	0.09488401
299	1	-37.27859	-37.40184	0.1232518	0.09598353
300	0	-37.64163	-37.82774	0.1861133	0.09013559
301	1	-37.68234	-37.87485	0.192511	0.08956078
302	0	-37.57652	-37.75216	0.1756422	0.09108438
303	1	-41.2448	-41.79546	0.5506652	0.06259987
304	0	-37.57652	-37.75216	0.1756422	0.09108438
305	1	-37.64546	-37.83218	0.1867209	0.09008084
306	0	-37.27542	-37.39806	0.1226474	0.09604157
307	1	-38.56017	-38.87	0.3098354	0.0796461
308	0	-37.46627	-37.62344	0.1571757	0.09278201
309	1	-37.7979	-38.00799	0.2100923	0.08799995
310	0	-37.11153	-37.20127	0.08973441	0.09925518
311	1	-37.22089	-37.33296	0.1120759	0.09706225
312	0	-37.38206	-37.52444	0.1423781	0.09416517
313	1	-38.03333	-38.27692	0.2435897	0.085101
314	0	-37.82136	-38.03493	0.2135636	0.087695
315	1	-38.172	-38.43407	0.262073	0.0835425
316	0	-37.19276	-37.29924	0.1064818	0.09760675
317	1	-38.09632	-38.34841	0.2520896	0.08438071
318	0	-37.98279	-38.21942	0.2366358	0.08569484
319	1	-37.46926	-37.62695	0.1576898	0.09273432
320	0	-37.98215	-38.21869	0.2365469	0.08570247
321	1	-38.38281	-38.67149	0.2886753	0.08134938
322	0	-38.40676	-38.69835	0.2915939	0.0811123
323	1	-38.44075	-38.73645	0.2957021	0.08077975
324	0	-37.33864	-37.47312	0.1344863	0.09491125
325	1	-37.98642	-38.22356	0.2371393	0.08565171
326	0	-37.36302	-37.50197	0.1389414	0.09448934
327	1	-38.525	-38.83072	0.3057205	0.07997451
328	0	-37.36302	-37.50197	0.1389414	0.09448934
329	1	-38.48234	-38.78302	0.3006774	0.08037885
330	0	-39.50849	-39.91723	0.4087345	0.07214615
331	1	-37.59273	-37.77101	0.1782782	0.0908446
332	0	-38.72465	-39.05324	0.3285862	0.07816659
333	1	-37.24454	-37.36124	0.1167039	0.09661409
334	0	-37.74084	-37.94236	0.2015152	0.08875798
335	1	-37.52863	-37.69637	0.1677404	0.09180696
336	0	-38.70208	-39.02813	0.3260586	0.07836441
337	1	-37.46969	-37.62745	0.1577637	0.09272747
338	0	-37.12597	-37.21874	0.0927782	0.09895352
339	1	-39.49337	-39.90068	0.4073093	0.07224905
340	0	-37.793	-38.00237	0.2093638	0.08806407
341	1	-37.26388	-37.38432	0.12044	0.0962538
342	0	-39.91854	-40.36445	0.4459086	0.06951343
343	1	-37.64508	-37.83174	0.1866604	0.09008629
344	0	-38.26466	-38.53863	0.2739745	0.08255411
345	1	-37.64508	-37.83174	0.1866604	0.09008629
346	0	-37.6626	-37.85203	0.1894236	0.08983772
347	1	-37.78361	-37.99158	0.2079627	0.08818754
348	0	-37.21702	-37.32833	0.1113128	0.09713636
349	1	-38.18315	-38.44667	0.263523	0.08342145
350	0	-37.11866	-37.2099	0.09124106	0.09910575
351	1	-38.01037	-38.25082	0.2404461	0.08536895
352	0	-37.7443	-37.94634	0.2020404	0.08871137
353	1	-38.8128	-39.15112	0.3383201	0.07740941
354	0	-37.18459	-37.28943	0.1048386	0.09776727
355	1	-37.28827	-37.41336	0.1250892	0.09580734
356	0	-38.92715	-39.2778	0.350645	0.07646121
357	1	-38.46708	-38.76594	0.2988585	0.08052518
358	0	-37.59658	-37.77548	0.178901	0.09078804
359	1	-37.22486	-37.33771	0.1128576	0.09698641
360	0	-39.30093	-39.68972	0.3887945	0.07359918
361	1	-37.71135	-37.90836	0.1970036	0.08915932
362	0	-37.85854	-38.07754	0.2189998	0.08721957
363	1	-37.39921	-37.54466	0.145445	0.09387681
364	0	-39.39008	-39.78754	0.3974598	0.07296418
365	1	-37.29361	-37.41971	0.1260988	0.09571066
366	0	-37.65568	-37.84401	0.1883338	0.08993567
367	1	-38.31302	-38.59307	0.2800535	0.08205378
368	0	-37.37586	-37.51712	0.1412622	0.09427031
369	1	-37.29833	-37.42532	0.1269881	0.09562558
370	0	-38.86858	-39.21295	0.3443729	0.07694229
371	1	-37.25721	-37.37637	0.119157	0.09637738
372	0	-38.42189	-38.71531	0.2934274	0.08096372
373	1	-37.25721	-37.37637	0.119157	0.09637738
374	0	-38.21212	-38.47939	0.2672683	0.0831096
375	1	-37.40141	-37.54725	0.145836	0.09384012
376	0	-37.45	-37.60436	0.1543663	0.09304304
377	1	-37.42869	-37.57934	0.1506519	0.09338928
