Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
71	1	-70.66572	-91.63708	20.97136	1	0	1	0	0.003829635	0.003829635	0.002345047	0.001829757	0.02784377	0.02784377	0.01375252	0.002054122	0.219787	0.43586	0.329974	0.0143783
72	0	-70.01086	-86.16155	16.15069	0	0	1	1	0.009812282	0.0009490001	0.002443291	0.001310444	0.0487032	0.0487032	0.0160112	0.0160112	0.467573	0.142882	0.215846	0.173699
73	1	-75.58619	-89.51277	13.92658	1	1	1	0	0.007208769	0.007208769	0.002345047	0.002345047	0.03617378	0.03617378	0.01375252	0.00293418	0.26726	0.26437	0.401246	0.0671234
74	0	-70.03982	-85.35515	15.31533	0	1	1	0	0.009812282	0.001087098	0.002443291	0.002443291	0.05553193	0.05553193	0.01459659	0.0005365236	0.152724	0.227375	0.343486	0.276415
75	1	-80.70887	-88.80825	8.099385	1	1	1	1	0.006072498	0.006072498	0.003003087	0.003003087	0.04717413	0.04717413	0.009959415	0.009959415	0.446348	0.186585	0.283188	0.0838793
76	0	-74.10686	-89.06018	14.95332	0	0	1	1	0.005958789	0.001240456	0.002946596	0.01921021	0.04212579	0.04212579	0.01459659	0.01459659	0.174594	0.283521	0.244711	0.297174
77	1	-67.86169	-91.30998	23.44829	0	1	0	0	0.004313204	0.002248971	0.002747056	0.002747056	0.03033559	0.008173778	0.009240992	0.009964199	0.25024	0.252675	0.383495	0.11359
78	0	-65.26441	-87.06255	21.79814	0	0	1	0	0.00828069	0.002104958	0.001621743	0.002252076	0.04212579	0.04212579	0.01115096	0.008926553	0.143321	0.354188	0.305705	0.196786
79	1	-66.89217	-92.31201	25.41984	0	1	0	0	0.005750499	0.003451022	0.003269177	0.003269177	0.02642162	0.007312231	0.009240992	0.0003008562	0.284247	0.065128	0.435611	0.215013
80	0	-72.4111	-87.69758	15.28648	0	1	1	1	0.006315837	0.001602992	0.001013372	0.001013372	0.03455242	0.03455242	0.01115096	0.01115096	0.209491	0.056021	0.446847	0.287641
81	1	-76.93302	-92.28262	15.3496	1	1	0	1	0.00418256	0.00418256	0.002343598	0.002343598	0.02642162	0.00470442	0.01662233	0.01662233	0.348333	0.0798118	0.308365	0.26349
82	0	-69.6507	-87.95437	18.30367	0	1	0	1	0.008631656	0.001008375	0.0006508655	0.0006508655	0.03455242	0.0006222814	0.02144864	0.02144864	0.154744	0.0450738	0.452574	0.347608
