state	power	likelihood
4880	1	-135.829
4890	1	-136.695
4900	1	-139.662
4910	1	-138.208
4920	1	-135.362
4930	1	-132.744
4940	1	-139.021
4950	1	-134.688
4960	1	-137.651
4970	1	-134.435
4980	1	-135.28
4990	1	-139.98
5000	1	-136.681
1260	0.773781	-135.537
1270	0.773781	-139.675
1280	0.773781	-137.511
1290	0.773781	-138.022
1300	0.773781	-137.617
1310	0.773781	-135.508
1320	0.773781	-137.281
1330	0.773781	-140.719
1340	0.773781	-138.114
1350	0.773781	-136.432
1360	0.773781	-137.511
1370	0.773781	-140.208
1380	0.773781	-135.795
1390	0.773781	-135.124
1400	0.773781	-138.581
1410	0.773781	-137.595
1420	0.773781	-139.673
1430	0.773781	-138.37
1440	0.773781	-135.602
1450	0.773781	-136.798
1460	0.773781	-134.872
1470	0.773781	-133.491
1480	0.773781	-134.053
1490	0.773781	-133.361
1500	0.773781	-137.683
1510	0.773781	-136.02
1520	0.773781	-140.584
1530	0.773781	-136.39
1540	0.773781	-137.023
1550	0.773781	-139.972
1560	0.773781	-137.827
1570	0.773781	-139.283
1580	0.773781	-135.127
1590	0.773781	-138.373
1600	0.773781	-136.249
1610	0.773781	-134.298
1620	0.773781	-143.425
1630	0.773781	-138.216
1640	0.773781	-137.355
1650	0.773781	-136.517
1660	0.773781	-136.608
1670	0.773781	-137.529
1680	0.773781	-136.697
1690	0.773781	-136.845
1700	0.773781	-138.008
1710	0.773781	-137.728
1720	0.773781	-134.65
1730	0.773781	-137.823
1740	0.773781	-134.898
1750	0.773781	-139.141
1760	0.773781	-136.632
1770	0.773781	-135.733
1780	0.773781	-137.191
1790	0.773781	-135.561
1800	0.773781	-141.099
1810	0.773781	-134.787
1820	0.773781	-139.571
1830	0.773781	-135.203
1840	0.773781	-135.681
1850	0.773781	-135.967
1860	0.773781	-139.396
1870	0.773781	-135.24
1880	0.773781	-136.672
1890	0.773781	-135.282
1900	0.773781	-137.691
1910	0.773781	-137.097
1920	0.773781	-138.444
1930	0.773781	-137.374
1940	0.773781	-135.265
1950	0.773781	-139.504
1960	0.773781	-137.307
1970	0.773781	-141.41
1980	0.773781	-135.135
1990	0.773781	-134.708
2000	0.773781	-135.759
2010	0.773781	-136.634
2020	0.773781	-137.673
2030	0.773781	-136.115
2040	0.773781	-139.051
2050	0.773781	-135.84
2060	0.773781	-136.901
2070	0.773781	-137.371
2080	0.773781	-134.91
2090	0.773781	-136.323
2100	0.773781	-137.704
2110	0.773781	-138.108
2120	0.773781	-135.459
2130	0.773781	-136.209
2140	0.773781	-137.577
2150	0.773781	-136.82
2160	0.773781	-135.332
2170	0.773781	-139.701
2180	0.773781	-138.813
2190	0.773781	-134.836
2200	0.773781	-138.208
2210	0.773781	-135.609
2220	0.773781	-145.874
2230	0.773781	-134.727
2240	0.773781	-136.711
2250	0.773781	-136.26
2260	0.773781	-138.051
2270	0.773781	-137.59
2280	0.773781	-138.267
2290	0.773781	-135.031
2300	0.773781	-137.494
2310	0.773781	-130.846
2320	0.773781	-132.233
2330	0.773781	-132.478
2340	0.773781	-131.862
2350	0.773781	-132.288
2360	0.773781	-135.043
2370	0.773781	-136.164
2380	0.773781	-132.699
2390	0.773781	-132.641
2400	0.773781	-133.944
2410	0.773781	-135.165
2420	0.773781	-133.483
2430	0.773781	-130.929
2440	0.773781	-132.511
2450	0.773781	-134.592
2460	0.773781	-135.858
2470	0.773781	-136.192
2480	0.773781	-133.483
2490	0.773781	-137.259
2500	0.773781	-134.159
2510	0.773781	-132.51
2520	0.773781	-134.717
2530	0.773781	-138.606
2540	0.773781	-140.007
2550	0.773781	-142.495
2560	0.773781	-136.125
2570	0.773781	-136.196
2580	0.773781	-137.357
2590	0.773781	-138.526
2600	0.773781	-137.491
2610	0.773781	-136.409
2620	0.773781	-138.633
2630	0.773781	-134.347
2640	0.773781	-136.364
2650	0.773781	-136.156
2660	0.773781	-136.003
2670	0.773781	-135.851
2680	0.773781	-136.401
2690	0.773781	-137.503
2700	0.773781	-136.534
2710	0.773781	-140.358
2720	0.773781	-136.851
2730	0.773781	-134.981
2740	0.773781	-135.896
2750	0.773781	-137.946
