Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
239	1	-108.6688	-104.0637	-4.60517	0.07992619
240	0	-109.9248	-105.3196	-4.60517	0.06114785
241	1	-108.6711	-104.0659	-4.60517	0.09906799
242	0	-108.5956	-103.9904	-4.60517	0.08306185
243	1	-108.5421	-103.9369	-4.60517	0.08970095
244	0	-108.6153	-104.0101	-4.60517	0.08206742
245	1	-108.9797	-104.3745	-4.60517	0.1079301
246	0	-108.5541	-103.9489	-4.60517	0.08617747
247	1	-109.1114	-104.5062	-4.60517	0.1107556
248	0	-108.8606	-104.2555	-4.60517	0.1050301
249	1	-108.7148	-104.1097	-4.60517	0.07845166
250	0	-109.9942	-105.389	-4.60517	0.1250966
251	1	-108.6817	-104.0766	-4.60517	0.09948191
252	0	-108.5449	-103.9397	-4.60517	0.08761164
253	1	-108.6638	-104.0586	-4.60517	0.08010459
254	0	-108.6858	-104.0806	-4.60517	0.07935421
255	1	-109.0855	-104.4803	-4.60517	0.07079572
256	0	-109.8783	-105.2732	-4.60517	0.06156615
257	1	-108.5435	-103.9384	-4.60517	0.09029447
258	0	-108.8752	-104.27	-4.60517	0.105408
259	1	-108.5429	-103.9378	-4.60517	0.09008976
260	0	-108.9209	-104.3157	-4.60517	0.1065498
261	1	-109.4421	-104.8369	-4.60517	0.1168013
262	0	-108.6298	-104.0247	-4.60517	0.08142164
263	1	-108.6242	-104.019	-4.60517	0.09701014
264	0	-109.1004	-104.4952	-4.60517	0.1105303
265	1	-108.9105	-104.3053	-4.60517	0.07383533
266	0	-108.542	-103.9369	-4.60517	0.08859182
267	1	-109.1159	-104.5107	-4.60517	0.1108468
268	0	-108.5479	-103.9427	-4.60517	0.08703849
269	1	-111.0318	-106.4266	-4.60517	0.05309825
270	0	-108.599	-103.9938	-4.60517	0.08287999
271	1	-108.8702	-104.2651	-4.60517	0.07464611
272	0	-109.1065	-104.5013	-4.60517	0.1106559
273	1	-108.7719	-104.1667	-4.60517	0.07689515
274	0	-109.4687	-104.8635	-4.60517	0.06572415
275	1	-108.5417	-103.9365	-4.60517	0.0892473
276	0	-108.5699	-103.9647	-4.60517	0.09369026
277	1	-108.5752	-103.97	-4.60517	0.09410476
278	0	-109.2325	-104.6273	-4.60517	0.06865716
279	1	-108.6353	-104.0302	-4.60517	0.0975415
280	0	-108.5701	-103.9649	-4.60517	0.09370189
281	1	-108.7362	-104.131	-4.60517	0.07784006
282	0	-108.6037	-103.9986	-4.60517	0.08263148
283	1	-108.5899	-103.9847	-4.60517	0.09511712
284	0	-108.7561	-104.1509	-4.60517	0.07730165
285	1	-109.4463	-104.8412	-4.60517	0.1168723
286	0	-108.8527	-104.2475	-4.60517	0.1048212
287	1	-108.9013	-104.2962	-4.60517	0.1060688
288	0	-109.6219	-105.0167	-4.60517	0.06405702
289	1	-108.5505	-103.9454	-4.60517	0.08663497
290	0	-108.6588	-104.0536	-4.60517	0.09856912
291	1	-108.5418	-103.9367	-4.60517	0.08950794
292	0	-108.748	-104.1428	-4.60517	0.07751776
293	1	-108.5864	-103.9813	-4.60517	0.09489425
294	0	-108.5421	-103.9369	-4.60517	0.08969714
295	1	-108.7472	-104.142	-4.60517	0.101761
296	0	-108.7895	-104.1844	-4.60517	0.1030602
297	1	-109.6404	-105.0352	-4.60517	0.1199722
298	0	-108.5485	-103.9433	-4.60517	0.09135947
299	1	-111.6427	-107.0375	-4.60517	0.144326
300	0	-108.6397	-104.0345	-4.60517	0.09774168
301	1	-109.8085	-105.2034	-4.60517	0.1224803
302	0	-108.8019	-104.1967	-4.60517	0.07616052
303	1	-111.2347	-106.6295	-4.60517	0.1400302
304	0	-109.4011	-104.7959	-4.60517	0.1161104
305	1	-108.7386	-104.1335	-4.60517	0.1014857
306	0	-109.1573	-104.5521	-4.60517	0.1116703
307	1	-108.6269	-104.0217	-4.60517	0.08154825
308	0	-110.0067	-105.4016	-4.60517	0.1252681
309	1	-109.3074	-104.7022	-4.60517	0.1144777
310	0	-108.9997	-104.3946	-4.60517	0.07220224
311	1	-108.9701	-104.365	-4.60517	0.1077121
312	0	-109.1735	-104.5683	-4.60517	0.1119872
313	1	-108.5697	-103.9646	-4.60517	0.09367489
314	0	-108.8237	-104.2186	-4.60517	0.07565468
315	1	-108.8559	-104.2507	-4.60517	0.1049051
316	0	-109.0024	-104.3973	-4.60517	0.07215561
317	1	-109.2636	-104.6584	-4.60517	0.1136851
318	0	-108.7142	-104.109	-4.60517	0.07847188
319	1	-108.5672	-103.962	-4.60517	0.08492378
320	0	-109.1829	-104.5777	-4.60517	0.1121684
321	1	-108.9425	-104.3373	-4.60517	0.073227
322	0	-108.6991	-104.0939	-4.60517	0.1001263
323	1	-108.5605	-103.9553	-4.60517	0.0928443
324	0	-109.2976	-104.6924	-4.60517	0.1143009
325	1	-108.544	-103.9389	-4.60517	0.09043933
326	0	-108.5836	-103.9784	-4.60517	0.08376633
327	1	-108.5483	-103.9432	-4.60517	0.09133175
328	0	-108.639	-104.0338	-4.60517	0.08104426
329	1	-109.4578	-104.8526	-4.60517	0.1170621
330	0	-110.4111	-105.8059	-4.60517	0.1305264
331	1	-108.5461	-103.941	-4.60517	0.09093253
332	0	-108.6773	-104.0721	-4.60517	0.09930951
333	1	-108.6542	-104.049	-4.60517	0.08045345
334	0	-109.6249	-105.0198	-4.60517	0.06402544
335	1	-109.6875	-105.0824	-4.60517	0.1206905
336	0	-108.5591	-103.954	-4.60517	0.08564043
337	1	-109.6844	-105.0792	-4.60517	0.1206425
338	0	-109.1896	-104.5845	-4.60517	0.06925061
339	1	-108.574	-103.9688	-4.60517	0.08440637
340	0	-111.9936	-107.3884	-4.60517	0.04792719
341	1	-108.9575	-104.3523	-4.60517	0.07295048
342	0	-109.154	-104.5489	-4.60517	0.06976113
343	1	-109.8912	-105.286	-4.60517	0.1236624
344	0	-108.544	-103.9389	-4.60517	0.09043808
345	1	-108.6214	-104.0162	-4.60517	0.09687275
346	0	-111.8587	-107.2536	-4.60517	0.1465168
347	1	-108.542	-103.9369	-4.60517	0.08859645
348	0	-108.5629	-103.9577	-4.60517	0.08529033
349	1	-109.3232	-104.7181	-4.60517	0.06746841
350	0	-108.9987	-104.3935	-4.60517	0.07221971
351	1	-108.8242	-104.219	-4.60517	0.07564422
352	0	-108.5586	-103.9534	-4.60517	0.09264857
353	1	-108.5435	-103.9383	-4.60517	0.08797798
354	0	-108.6851	-104.08	-4.60517	0.07937445
355	1	-108.6758	-104.0706	-4.60517	0.09925227
356	0	-109.7931	-105.188	-4.60517	0.1222562
