Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
136	0	-181.3079	-115.5644	-65.74349	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
137	1	-183.2374	-111.3545	-71.88289	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
138	0	-186.9896	-114.2436	-72.74594	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
139	1	-164.8694	-115.4908	-49.37859	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
140	0	-186.1619	-117.9402	-68.22168	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
141	1	-210.3688	-111.656	-98.71283	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
142	0	-199.0024	-111.3953	-87.60715	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
143	1	-172.8573	-112.4409	-60.41635	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
144	0	-186.2924	-110.1132	-76.1791	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
145	1	-164.2883	-110.0359	-54.2524	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
146	0	-190.5037	-112.9279	-77.57578	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
147	1	-167.4472	-113.4469	-54.00034	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
148	0	-219.9574	-110.8205	-109.137	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
149	1	-180.4763	-110.4344	-70.04188	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
150	0	-255.0778	-109.995	-145.0828	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
151	1	-195.918	-114.2805	-81.63749	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
152	0	-223.2393	-112.4623	-110.777	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
153	1	-174.8112	-114.5708	-60.24043	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
154	0	-215.5816	-117.6586	-97.92302	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
155	1	-142.7976	-116.8163	-25.98131	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
156	0	-206.6164	-117.22	-89.39631	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
157	1	-159.44	-116.8122	-42.62781	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
158	0	-181.1756	-117.3889	-63.78671	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
159	1	-136.4854	-115.8949	-20.59056	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
160	0	-165.0337	-114.4444	-50.58924	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
161	1	-117.2273	-116.5038	-0.7234636	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
162	0	-164.0397	-113.1281	-50.91158	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
163	1	-119.5819	-115.808	-3.773988	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
164	0	-147.0787	-115.0736	-32.00508	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
165	1	-157.9306	-116.1119	-41.81874	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
166	0	-166.3499	-115.9967	-50.35325	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
167	1	-161.1232	-118.1172	-43.00603	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
168	0	-150.5208	-117.4035	-33.1173	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
169	1	-157.5151	-119.3229	-38.19222	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
170	0	-164.1744	-117.3038	-46.87069	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
171	1	-145.467	-115.1561	-30.31086	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
172	0	-165.8115	-116.4257	-49.38586	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
